distance_A,ansatz,mapper,optimizer,exact_total_hartree,vqe_total_hartree,abs_error_hartree,iterations,elapsed_s
0.500,uccsd,jordan_wigner,slsqp,-1.0551597945,-1.0551596160,1.7848062006e-07,73,3.4893
0.735,uccsd,jordan_wigner,slsqp,-1.1373060358,-1.1373057096,3.2613169765e-07,38,1.9287
1.000,uccsd,jordan_wigner,slsqp,-1.1011503302,-1.1011502401,9.0165280575e-08,28,1.3051
1.500,uccsd,jordan_wigner,slsqp,-0.9981493535,-0.9981493363,1.7179985434e-08,37,1.7685
